structure_index,formula,total_atoms,distinct_elements,elements,count_Cr,fraction_Cr,count_W,fraction_W,count_Y,fraction_Y,count_Zr,fraction_Zr
162,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
163,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
164,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
165,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
166,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
167,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
168,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
169,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
170,Zr131,131,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,131,1.000000000000
171,Zr135,135,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,135,1.000000000000
172,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
173,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
174,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
175,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
176,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
177,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
178,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
179,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
180,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
181,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
182,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
183,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
184,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
185,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
186,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
187,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
188,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
189,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
190,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
191,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
192,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
193,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
194,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
195,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
196,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
