subset_label,subset_size,dimensions,structure_count,total_bins,occupied_bins,occupied_bin_fraction,normalized_entropy,max_bin_fraction,gini,nn_distance_mean,nn_distance_p95
Cr-W,2,1,1061,20,20,1.000000000000,0.963677792008,0.100848256362,0.239066918002,0.000288190696,0.002198545578
Cr-Y,2,1,1044,20,20,1.000000000000,0.962999707769,0.085249042146,0.240325670498,0.000250379349,0.001648208263
Cr-Zr,2,1,1069,20,20,1.000000000000,0.960938442451,0.094480823199,0.245696913003,0.000273235615,0.001866110618
W-Y,2,1,1044,20,20,1.000000000000,0.963868746539,0.089080459770,0.239463601533,0.000316116897,0.002054939524
W-Zr,2,1,1060,20,20,1.000000000000,0.962139029675,0.088679245283,0.249433962264,0.000351055507,0.002495543672
Y-Zr,2,1,1044,20,20,1.000000000000,0.963101003564,0.086206896552,0.231609195402,0.000278747889,0.002230303088
Cr-W-Y,3,2,541,190,94,0.494736842105,0.748130997238,0.044362292052,0.792538184648,0.004477709420,0.024300090734
Cr-W-Zr,3,2,535,190,97,0.510526315789,0.752020004618,0.057943925234,0.788853910477,0.004928886864,0.021664996845
Cr-Y-Zr,3,2,532,190,87,0.457894736842,0.730964495814,0.046992481203,0.811020973486,0.003902381017,0.020605396642
W-Y-Zr,3,2,527,190,94,0.494736842105,0.740116236467,0.045540796964,0.799530610207,0.004630809755,0.021919262688
