structure_index,formula,total_atoms,distinct_elements,elements,count_Cr,fraction_Cr,count_W,fraction_W,count_Y,fraction_Y,count_Zr,fraction_Zr
944,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
945,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
946,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
947,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
948,Cr31Y83,114,2,"Cr,Y",31,0.271929824561,0,0.000000000000,83,0.728070175439,0,0.000000000000
949,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
950,Cr78Y47,125,2,"Cr,Y",78,0.624000000000,0,0.000000000000,47,0.376000000000,0,0.000000000000
951,Cr78Y47,125,2,"Cr,Y",78,0.624000000000,0,0.000000000000,47,0.376000000000,0,0.000000000000
952,Cr78Y47,125,2,"Cr,Y",78,0.624000000000,0,0.000000000000,47,0.376000000000,0,0.000000000000
953,Cr78Y47,125,2,"Cr,Y",78,0.624000000000,0,0.000000000000,47,0.376000000000,0,0.000000000000
954,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
955,Cr31WY94,126,3,"Cr,W,Y",31,0.246031746032,1,0.007936507937,94,0.746031746032,0,0.000000000000
956,Cr63Y62,125,2,"Cr,Y",63,0.504000000000,0,0.000000000000,62,0.496000000000,0,0.000000000000
957,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
958,Cr26Y87,113,2,"Cr,Y",26,0.230088495575,0,0.000000000000,87,0.769911504425,0,0.000000000000
959,Cr31WY94,126,3,"Cr,W,Y",31,0.246031746032,1,0.007936507937,94,0.746031746032,0,0.000000000000
960,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
961,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
962,Cr109WYZr16,127,4,"Cr,W,Y,Zr",109,0.858267716535,1,0.007874015748,1,0.007874015748,16,0.125984251969
963,Cr69Y44,113,2,"Cr,Y",69,0.610619469027,0,0.000000000000,44,0.389380530973,0,0.000000000000
964,Cr78Y47,125,2,"Cr,Y",78,0.624000000000,0,0.000000000000,47,0.376000000000,0,0.000000000000
965,Cr16Y109Zr2,127,3,"Cr,Y,Zr",16,0.125984251969,0,0.000000000000,109,0.858267716535,2,0.015748031496
966,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
967,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
968,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
969,Cr14Y104,118,2,"Cr,Y",14,0.118644067797,0,0.000000000000,104,0.881355932203,0,0.000000000000
970,Cr16Y109Zr,126,3,"Cr,Y,Zr",16,0.126984126984,0,0.000000000000,109,0.865079365079,1,0.007936507937
971,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
972,Cr16Y97,113,2,"Cr,Y",16,0.141592920354,0,0.000000000000,97,0.858407079646,0,0.000000000000
973,Cr16Y109Zr,126,3,"Cr,Y,Zr",16,0.126984126984,0,0.000000000000,109,0.865079365079,1,0.007936507937
974,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
975,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
976,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
977,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
978,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
979,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
980,Cr16Y111,127,2,"Cr,Y",16,0.125984251969,0,0.000000000000,111,0.874015748031,0,0.000000000000
981,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
982,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
983,Cr16Y109,125,2,"Cr,Y",16,0.128000000000,0,0.000000000000,109,0.872000000000,0,0.000000000000
984,Cr14Y102,116,2,"Cr,Y",14,0.120689655172,0,0.000000000000,102,0.879310344828,0,0.000000000000
985,Cr17Y109,126,2,"Cr,Y",17,0.134920634921,0,0.000000000000,109,0.865079365079,0,0.000000000000
986,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
987,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
988,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
989,Cr43Y70,113,2,"Cr,Y",43,0.380530973451,0,0.000000000000,70,0.619469026549,0,0.000000000000
990,Cr47Y78,125,2,"Cr,Y",47,0.376000000000,0,0.000000000000,78,0.624000000000,0,0.000000000000
991,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
992,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
993,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
994,Cr31Y94,125,2,"Cr,Y",31,0.248000000000,0,0.000000000000,94,0.752000000000,0,0.000000000000
995,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
996,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
997,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
998,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
999,Cr98Zr16,114,2,"Cr,Zr",98,0.859649122807,0,0.000000000000,0,0.000000000000,16,0.140350877193
1000,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
1001,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
1002,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
